Name,Formula,CAS_Number,MW,YL,Δγ/ΔT,vapH,δT,δD,δP,δH,Molar_Valume
Bromine,Br₂,7726-95-6,159.81,41.0,-0.17,31.62,23.5,18.2,14.9,0.0,51.5
Bromine,Br₂,7726-95-6,159.81,41.0,-0.17,31.62,18.3,18.2,2.1,0.0,51.5
Tetrachloromethane (carbon tetrachloride),CCl₄,56-23-5,153.82,26.3,-0.12,32.48,18.1,16.1,8.3,0.0,97.1
Tetrachloromethane (carbon tetrachloride),CCl₄,56-23-5,153.82,26.3,-0.12,32.48,17.8,17.8,0.0,0.6,97.1
Trichloromethane (chloroform),CHCl₃,67-66-3,119.38,26.7,-0.13,31.68,19.0,17.8,3.1,5.7,80.7
"Dichloromethane (methylene chloride, DCM)",CH₂Cl₂,75-09-2,84.93,27.8,-0.16,29.23,20.2,18.2,6.3,6.1,63.9
Diiodomethane (methylene iodide),CH₂I₂,75-11-6,267.84,50.8,-0.18,49.37,19.0,17.8,3.9,5.5,80.5
Methanoic acid (formic acid),CH₂O₂,64-18-6,46.03,37.7,-0.16,24.76,24.9,14.3,11.9,16.6,37.8
Formamide (methanomide),CH₃NO,75-12-7,45.04,57.0,-0.15,60.15,36.6,17.2,26.2,19.0,39.8
Nitromethane,CH₃NO₂,75-52-5,61.04,36.3,-0.14,39.34,25.1,15.8,18.8,5.1,54.3
Methanol (methyl alcohol),CH₄O,67-56-1,32.04,22.1,-0.08,37.96,29.6,15.1,12.3,22.3,40.7
"Trichloroethylene (TCE, trichloroethene)",C₂HCl₃,79-01-6,131.39,28.7,-0.13,35.01,19.0,18.0,3.1,5.3,90.2
"1,1,1-Trichloroethane (methyl chloroform)",C₂H₃Cl₃,71-55-6,133.4,25.0,-0.12,32.5,17.5,16.8,4.3,2.0,99.3
Acetonitrile (ethane nitrile),C₂H₃N,75-05-8,41.05,28.7,-0.13,33.05,24.4,15.3,18.0,6.1,52.6
"1,2-Dichloroethane (ethylene dichloride)",C₂H₄Cl₂,107-06-2,98.96,32.6,-0.15,35.05,20.8,19.0,7.4,4.1,79.4
Acetic acid (ethanoic acid),C₂H₄O₂,64-19-7,60.05,27.0,-0.1,26.94,21.4,14.5,8.0,13.5,57.1
Ethanol (ethyl alcohol),C₂H₆O,64-17-5,46.07,22.0,-0.08,42.32,26.5,15.8,8.8,19.4,58.5
Dimethyl sulfoxide (DMSO),C₂H₆OS,67-68-5,78.13,42.9,-0.12,51.96,26.7,18.4,16.4,10.2,71.3
Ethylene glycol,C₂H₆O₂,107-21-1,62.07,48.4,-0.17,68.95,32.9,17.0,11.0,26.0,55.8
2-Aminoethanol (ethanolamine),C₂H₇NO,141-43-5,61.08,48.3,-0.17,61.12,31.3,17.0,15.5,21.2,59.8
Acrylonitrile (ethenylnitrile),C₃H₃N,107-13-1,53.06,26.7,-0.12,34.15,21.6,16.0,12.8,6.8,67.1
Epichlorohydrin (chloromethyloxirane),C₃H₅ClO,106-89-8,92.52,36.3,-0.14,42.4,21.4,18.9,7.6,6.6,78.4
Acetone (propanone),C₃H₆O,67-64-1,58.08,23.0,-0.12,32.19,19.9,15.5,10.4,7.0,74.0
Methyl acetate,C₃H₆O₂,79-20-9,74.08,24.5,-0.12,32.53,18.7,15.5,7.2,7.6,79.7
"N,N-Dimethylformamide (DMF)",C₃H₇NO,68-12-2,73.09,34.4,-0.11,46.91,24.9,17.4,13.7,11.3,77.0
"1-Propanol (n-propanol, n-propyl alcohol)",C₃H₈O,71-23-8,60.1,20.9,-0.08,47.45,24.6,16.0,6.8,17.4,75.2
2-Propanol (isopropyl alcohol),C₃H₈O,67-63-0,60.1,23.3,-0.08,48.68,23.6,15.8,6.1,16.4,76.8
2-Methoxymethanol (ethylene glycol monomethyl ether),C₃H₈O₂,109-86-4,76.1,42.8,-0.2,47.16,24.8,16.2,9.2,16.4,79.1
Dimethoxymethane (methylal),C₃H₈O₂,109-87-5,76.1,18.8,-0.13,28.81,17.4,15.0,1.8,8.6,169.4
"1,2-Propanediol (propylene glycol)",C₃H₈O₂,57-55-6,76.1,45.6,-0.17,70.68,30.2,16.8,9.4,23.3,73.6
Glycerol,C₃H₈O₃,56-81-5,92.09,48.0,-0.22,88.75,36.1,17.4,12.1,29.3,73.3
Propylene carbonate,C₄H₆O₃,108-32-7,102.09,40.9,-,-,27.2,20.0,18.0,4.1,85.0
2-Butanone (methyl ethyl ketone),C₄H₈O,78-93-3,72.11,24.0,-0.11,34.79,19.1,16.0,9.0,5.1,90.1
Tetrahydrofuran,C₄H₈O,109-99-9,72.11,26.7,-0.14,32.47,19.4,16.8,5.7,8.0,81.7
"1,4-Dioxane",C₄H₈O₂,123-91-1,88.11,32.9,-0.15,38.6,20.5,19.0,1.8,7.4,85.7
Ethyl acetate (ethyl ethanoate),C₄H₈O₂,141-78-6,88.11,23.2,-0.12,35.66,18.1,15.8,5.3,7.2,98.5
Morpholine,C₄H₉NO,110-91-8,87.12,38.8,-0.15,44.02,21.5,18.8,4.9,9.2,87.1
1-Butanol (n-butyl alcohol),C₄H₁₀O,71-36-3,74.12,25.0,-0.08,49.58,23.2,16.0,5.7,15.8,91.5
2-Butanol (sec-butanol),C₄H₁₀O,78-92-2,74.12,22.6,-0.08,49.25,22.2,15.8,5.7,14.5,92.0
Diethyl ether (ethoxyethane),C₄H₁₀O,60-29-7,74.12,16.7,-0.12,27.73,15.8,14.5,2.9,5.1,104.8
2-Methylpropyl alcohol (isobutanol),C₄H₁₀O,78-83-1,74.12,22.6,-0.07,51.23,22.7,15.1,5.7,15.9,92.8
"1,3-Butanediol",C₄H₁₀O₂,107-88-0,90.12,47.1,-0.17,75.25,28.9,16.6,10.0,21.5,89.9
"1,2-Dimethoxyethane (DME, ethylene glycol dimethyl ether)",C₄H₁₀O₂,110-71-4,90.12,20.0,-0.11,35.24,17.7,15.4,6.3,6.0,103.9
2-Ethoxyethanol (ethylene glycol monoethyl ether),C₄H₁₀O₂,110-80-5,90.12,28.8,-0.13,48.21,23.5,16.2,9.2,14.3,97.8
Diethylene glycol,C₄H₁₀O₃,111-46-6,106.12,55.1,-0.15,76.0,29.1,16.6,12.0,20.7,94.9
Pyridine,C₅H₅N,110-86-1,79.1,36.7,-0.14,40.91,21.8,19.0,8.8,5.9,80.9
2-Furanmethanol (furfuryl alcohol),C₅H₆O₂,98-00-0,98.1,53.3,-0.2,60.37,24.3,17.4,7.6,15.1,86.5
Methyl methacrylate,C₅H₈O₂,80-62-6,100.12,24.2,-0.11,39.47,17.9,15.8,6.5,5.4,106.1
N-Methyl-2-pyrrolidine,C₅H₉NO,872-50-4,99.13,44.6,-0.13,53.45,23.0,18.0,12.3,7.2,96.5
