SMILES,MW,logP,VDss(L/kg),logVDss
CC(C)N(CCC(c1ccccc1)c1cc(CO)ccc1O)C(C)C,341.495,4.5253,2.41,0.382017043
O=C(OC1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,484.663,4.6668,4.3,0.633468456
CC[C@H]1C2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,326.44,1.5545,4,0.602059991
C=CC[N+]12CCC34c5ccccc5N5/C=C6/C7CC8C9(CC[N+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/C(CC31)/C(=C/CO)C2)C54)C69,666.91,5.4756,0.32,-0.494850022
CCCS(=O)CCCN(CC)CC(O)COc1ccc(C#N)cc1,352.5,2.16868,1.8,0.255272505
CNC(=O)C(c1ccccc1)N1CCc2cc(OC)c(OC)cc2C1CCc1ccc(C(F)(F)F)cc1,512.572,5.7419,9.75,0.989004616
C=CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC,382.486,0.5657,2.3,0.361727836
CCCCCC(O)/C=C/C1C(O)CC(=O)C1CCCCCCC(=O)O,354.487,3.4751,2.4,0.380211242
CCNC(=O)C1CC(n2ccc3c(NC(CC)Cc4sccc4Cl)ncnc32)C(O)C1O,478.018,2.9983,0.84,-0.075720714
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,457.432,-3.10802,0.21,-0.677780705
CC1COc2c(N3CCN(C)CC3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,376.388,1.1262,2.42,0.383815366
CC1(C)SC2C(NC(=O)C(NC(=O)c3cnc4cccnc4c3O)c3ccccc3)C(=O)N2C1C(=O)O,521.555,1.4382,0.16,-0.795880017
CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,284.381,2.16972,7.7,0.886490725
O=C1OC(C(O)CO)C(O)=C1O,176.124,-1.4074,0.35,-0.455931956
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,285.774,4.2585,23,1.361727836
NC(=O)C1CCC2CN1C(=O)N2OS(=O)(=O)O,265.247,-1.5253,0.24,-0.619788758
CCC[c-]1c(=O)n2c(N(C)C)nc3ccc(C)cc3n2c1=O,299.354,1.35322,0.12,-0.920818754
CC1C(NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,435.44,-1.1725,0.18,-0.744727495
NCC(CC(=O)O)c1ccc(Cl)cc1,213.664,1.857,0.65,-0.187086643
CCN(CC)CCN1C(=O)c2c(c3c4cccc(Cl)c4n(C4OC(CO)C(OC)C(O)C4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O,669.562,4.3001,8.9,0.949390007
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(OCc2ccccc2)C(C)O1,633.65,2.2258,48,1.681241237
CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,521.666,3.5568,31.2,1.494154594
CCNC(=O)CCC/C=C/CC1C(O)CC(O)C1/C=C/C(O)CCc1ccccc1,415.574,3.1469,0.67,-0.173925197
Nc1nc(NN=CC2CCCCC2)nc2c1ncn2C1OC(CO)C(O)C1O,391.432,-0.002,0.4,-0.397940009
COc1cc(C(=O)C(=O)N2CCCCC2C(=O)OC(CCCc2cccnc2)CCCc2cccnc2)cc(OC)c1OC,603.716,5.0238,1.34,0.127104798
CC1(C)SC2C(NC(=O)C(NC(=O)NC(=N)N)c3ccccc3)C(=O)N2C1C(=O)O,434.478,-0.44793,0.24,-0.619788758
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,384.245,0.3606,10,1
CCCCS(=N)(=O)CCC(N)C(=O)O,222.31,0.63527,0.26,-0.585026652
CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC(F)F)CCN1,411.38,2.5732,1.1,0.041392685
COCCOCC(CC1(C(=O)NC2CCC(C(=O)O)CC2)CCCC1)C(=O)O,399.484,2.0603,0.25,-0.602059991
C[N+](C)(C)CC(O)CC(=O)O,162.209,-0.4718,0.4,-0.397940009
NC(=O)OCC1C(NC(=O)/C(=N/OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,466.41,-2.8757,0.18,-0.744727495
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cc(Cl)c(=O)c(Cl)c4)C3SC2)s1,548.455,1.84592,0.13,-0.886056648
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(C[N+]34CCC(C(N)=O)(CC3)CC4)CSC12)c1nsc(N)n1,551.631,-1.3046,0.27,-0.568636236
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1csc(N)n1,397.438,-0.1657,0.28,-0.552841969
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)/C(=N/OCC(=O)O)c3csc(N)n3)C2SC1,453.458,-0.5448,0.24,-0.619788758
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1,511.571,-0.8698,0.2,-0.698970004
CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CSC12)c1csc(N)n1,584.683,0.99872,0.05,-1.301029996
O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N12,542.577,-0.9173,0.14,-0.853871964
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O,645.68,-1.112,0.17,-0.769551079
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(Cn3ccc(=N)n3CCO)CSC12)c1csc(N)n1,522.569,-1.41063,0.3,-0.522878745
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,455.474,-0.6225,0.19,-0.721246399
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccn4ncccc43)CSC12)c1nsc(N)n1,516.545,-1.1552,0.24,-0.619788758
O=C(O)C1=C(C[n+]2ccc(CCS(=O)(=O)O)cc2)CSC2C(NC(=O)C(NC(=O)c3nc[nH]c3C(=O)O)c3ccccc3)C(=O)N12,671.69,-0.2644,0.21,-0.677780705
Cc1cc(O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)cn1,612.65,0.32672,0.15,-0.823908741
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3cccc4c3CCC4)CSC12)c1csc(N)n1,515.597,0.2908,0.24,-0.619788758
C/C=C/C1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,389.433,0.7067,0.21,-0.677780705
